time,fitness,extraction,metabolic,population
2.300000000000000000e+05,1.017862483396546835e+00,1.008936796078403919e+00,9.915550446940403218e-01,4.600000000000000000e+01
2.350000000000000000e+05,1.019610821925285737e+00,1.009713887287523537e+00,9.906791616349512886e-01,4.700000000000000000e+01
2.400000000000000000e+05,1.019610821925285737e+00,1.009713887287523537e+00,9.906791616349512886e-01,4.700000000000000000e+01
2.450000000000000000e+05,1.020354266473921356e+00,1.010071603786657946e+00,9.903034322634303166e-01,4.600000000000000000e+01
2.500000000000000000e+05,1.021076039959076143e+00,1.010329037901241733e+00,9.898617919841290469e-01,4.700000000000000000e+01
2.550000000000000000e+05,1.021076039959076143e+00,1.010329037901241733e+00,9.898617919841290469e-01,4.700000000000000000e+01
2.600000000000000000e+05,1.024034441080576174e+00,1.011928038103064864e+00,9.885923171735884196e-01,4.600000000000000000e+01
2.650000000000000000e+05,1.024034441080576174e+00,1.011928038103064864e+00,9.885923171735884196e-01,4.600000000000000000e+01
2.700000000000000000e+05,1.025238315789182009e+00,1.012086446284452546e+00,9.876291948420722333e-01,4.700000000000000000e+01
2.750000000000000000e+05,1.026936407385204975e+00,1.012873146942239622e+00,9.868158634861982081e-01,4.800000000000000000e+01
2.800000000000000000e+05,1.030215696478064213e+00,1.014046623495309163e+00,9.848734603378981323e-01,4.700000000000000000e+01
2.850000000000000000e+05,1.031009338969733236e+00,1.014344303990140528e+00,9.843992474294595008e-01,4.600000000000000000e+01
2.900000000000000000e+05,1.033973300706787724e+00,1.016274358377166953e+00,9.834808914618419218e-01,4.800000000000000000e+01
2.950000000000000000e+05,1.036217541433118727e+00,1.017075117254519823e+00,9.821791398717168997e-01,4.800000000000000000e+01
3.000000000000000000e+05,1.037922831336790530e+00,1.018041783266614209e+00,9.814982682205858344e-01,4.600000000000000000e+01
3.050000000000000000e+05,1.039050137723507072e+00,1.018316952925003571e+00,9.807230427526287819e-01,4.700000000000000000e+01
3.100000000000000000e+05,1.040443224091852192e+00,1.019176055731908725e+00,9.802512316670813908e-01,4.800000000000000000e+01
3.150000000000000000e+05,1.043639060044579736e+00,1.020521493441630012e+00,9.785600311680598962e-01,4.700000000000000000e+01
3.200000000000000000e+05,1.054261011674042736e+00,1.025422042415543800e+00,9.734031762947996658e-01,4.600000000000000000e+01
3.250000000000000000e+05,1.055573030850389893e+00,1.026132013092066364e+00,9.728797074710923143e-01,4.700000000000000000e+01
3.300000000000000000e+05,1.059328784618430719e+00,1.028003812266265582e+00,9.712794471199401869e-01,4.800000000000000000e+01
3.350000000000000000e+05,1.062970077116791145e+00,1.030202180787404886e+00,9.700018610763478932e-01,4.900000000000000000e+01
3.400000000000000000e+05,1.071427509933149835e+00,1.032071745895084769e+00,9.639569886211800664e-01,4.600000000000000000e+01
3.450000000000000000e+05,1.073693709420150633e+00,1.032900484270672603e+00,9.626924888252572643e-01,4.900000000000000000e+01
3.500000000000000000e+05,1.080194459336722312e+00,1.036819992219694342e+00,9.604938514559364648e-01,4.800000000000000000e+01
3.550000000000000000e+05,1.082391234920307532e+00,1.037881699497782195e+00,9.594591360422102255e-01,4.800000000000000000e+01
3.600000000000000000e+05,1.086611727706752628e+00,1.039853749981537678e+00,9.574463732449641773e-01,4.800000000000000000e+01
3.650000000000000000e+05,1.093267138172359543e+00,1.044026311903477389e+00,9.554404454609877195e-01,4.900000000000000000e+01
3.700000000000000000e+05,1.095427808181271834e+00,1.045098751551745586e+00,9.545223939748642694e-01,4.900000000000000000e+01
3.750000000000000000e+05,1.099348984641025817e+00,1.046630912655180046e+00,9.525391800659825936e-01,5.000000000000000000e+01
3.800000000000000000e+05,1.103586877986097337e+00,1.048448741508698712e+00,9.504775260237912082e-01,4.900000000000000000e+01
3.850000000000000000e+05,1.106246614984018439e+00,1.049690808906288186e+00,9.493233171287132066e-01,4.900000000000000000e+01
3.900000000000000000e+05,1.111044663271606669e+00,1.052120760454781756e+00,9.473721860780944803e-01,4.900000000000000000e+01
3.950000000000000000e+05,1.112311026859101215e+00,1.052626464714208288e+00,9.467735172717585135e-01,5.000000000000000000e+01
4.000000000000000000e+05,1.116214311704485151e+00,1.054763892373965950e+00,9.453404570908169324e-01,5.000000000000000000e+01
4.050000000000000000e+05,1.118612326374763155e+00,1.056327419943283052e+00,9.446897169533469141e-01,5.000000000000000000e+01
4.100000000000000000e+05,1.124605477467233383e+00,1.058255891995035114e+00,9.413977206266513909e-01,5.100000000000000000e+01
4.150000000000000000e+05,1.127186772632945422e+00,1.059258245377737717e+00,9.401322542278086614e-01,5.100000000000000000e+01
4.200000000000000000e+05,1.128363470851049488e+00,1.059998901065120736e+00,9.397984050986432081e-01,5.000000000000000000e+01
4.250000000000000000e+05,1.129372792773305934e+00,1.060828546436417552e+00,9.396903828548732740e-01,5.100000000000000000e+01
4.300000000000000000e+05,1.132840057289504543e+00,1.062945930849691578e+00,9.386580958071529812e-01,5.000000000000000000e+01
4.350000000000000000e+05,1.134160663956851778e+00,1.063539573772448454e+00,9.380915951037004374e-01,5.200000000000000000e+01
4.400000000000000000e+05,1.135210548497475491e+00,1.064405580657628247e+00,9.379889681921589339e-01,5.100000000000000000e+01
4.450000000000000000e+05,1.135210548497475491e+00,1.064405580657628247e+00,9.379889681921589339e-01,5.100000000000000000e+01
4.500000000000000000e+05,1.135771716432006473e+00,1.064558778990330135e+00,9.376617209017960031e-01,5.200000000000000000e+01
4.550000000000000000e+05,1.136731356435583873e+00,1.065013786895130155e+00,9.372598611550055914e-01,5.100000000000000000e+01
4.600000000000000000e+05,1.138396646715172045e+00,1.065846047505587313e+00,9.366292093915123962e-01,5.100000000000000000e+01
4.650000000000000000e+05,1.138396646715172045e+00,1.065846047505587313e+00,9.366292093915123962e-01,5.100000000000000000e+01
4.700000000000000000e+05,1.139018687044732081e+00,1.066322549999121572e+00,9.365318406741386381e-01,5.200000000000000000e+01
4.750000000000000000e+05,1.139018687044732081e+00,1.066322549999121572e+00,9.365318406741386381e-01,5.200000000000000000e+01
4.800000000000000000e+05,1.139884696891466209e+00,1.066578854923691422e+00,9.360324077454441616e-01,5.100000000000000000e+01
4.850000000000000000e+05,1.141243046592784305e+00,1.067351444331566812e+00,9.355890946109546302e-01,5.100000000000000000e+01
4.900000000000000000e+05,1.141243046592784305e+00,1.067351444331566812e+00,9.355890946109546302e-01,5.100000000000000000e+01
4.950000000000000000e+05,1.142309450764607881e+00,1.068176059067481365e+00,9.354382887591150553e-01,5.200000000000000000e+01
5.000000000000000000e+05,1.142309450764607881e+00,1.068176059067481365e+00,9.354382887591150553e-01,5.200000000000000000e+01
5.050000000000000000e+05,1.143136297307408400e+00,1.068534248898318051e+00,9.350676579575986080e-01,5.100000000000000000e+01
5.100000000000000000e+05,1.143136297307408400e+00,1.068534248898318051e+00,9.350676579575986080e-01,5.100000000000000000e+01
5.150000000000000000e+05,1.143136297307408400e+00,1.068534248898318051e+00,9.350676579575986080e-01,5.100000000000000000e+01
5.200000000000000000e+05,1.143908296403090663e+00,1.069188945748936082e+00,9.350047850308647046e-01,5.200000000000000000e+01
5.250000000000000000e+05,1.143908296403090663e+00,1.069188945748936082e+00,9.350047850308647046e-01,5.200000000000000000e+01
5.300000000000000000e+05,1.145408368049724679e+00,1.069425381137583342e+00,9.340032943614858807e-01,5.200000000000000000e+01
5.350000000000000000e+05,1.146321026273014798e+00,1.069887206809166713e+00,9.336547915076751636e-01,5.100000000000000000e+01
5.400000000000000000e+05,1.147254126266650021e+00,1.070805203541064232e+00,9.336878320386401420e-01,5.200000000000000000e+01
5.450000000000000000e+05,1.147254126266650021e+00,1.070805203541064232e+00,9.336878320386401420e-01,5.200000000000000000e+01
5.500000000000000000e+05,1.148896261398586249e+00,1.071580458306852002e+00,9.330156824078837952e-01,5.000000000000000000e+01
5.550000000000000000e+05,1.149820244376764222e+00,1.072160782895657638e+00,9.327639521697531633e-01,5.200000000000000000e+01
5.600000000000000000e+05,1.149820244376764222e+00,1.072160782895657638e+00,9.327639521697531633e-01,5.200000000000000000e+01
5.650000000000000000e+05,1.149820244376764222e+00,1.072160782895657638e+00,9.327639521697531633e-01,5.200000000000000000e+01
5.700000000000000000e+05,1.149820244376764222e+00,1.072160782895657638e+00,9.327639521697531633e-01,5.200000000000000000e+01
